50
0 1
1 1,56136745610387
2 2,51036394073367
3 1,25968125189138
4 -0,350526117379817
5 -0,468845837574106
6 0,588165919008287
7 1,7428436743273
8 1,06174318233925
9 1,07541386011432
10 0,772117444755793
11 0,80533578613843
12 0,717682770072073
13 1,52585530278021
14 2,30765909919881
15 1,74271111308898
16 0,583435395330214
17 0,758391279284232
18 -0,146380932321692
19 1,18019534166475
20 1,04682620741273
21 2,4598200610401
22 0,997441742134561
23 0,968644834422308
24 -0,186416349942526
25 0,818516679358061
26 1,63617952904781
27 1,75063447931593
28 1,07804451336657
29 0,472397837284166
30 0,547430304831651
31 0,994904571053277
32 1,92017273928484
33 2,34851672173566
34 1,41751807257541
35 0,147452335257058
36 -0,971114743093259
37 -0,129662351441881
38 1,31106343565592
39 2,29181604853278
40 1,25460384769209
41 0,759075342514499
42 -0,736182221159802
43 0,0365312589630445
44 1,01438842251363
45 1,62150031004005
46 2,46701359253375
47 1,15705190563199
48 -0,492795958509026
49 0,429627633016636
